ticker,full_10y,dva_shares,dva_spent,dva_cash,dva_avg_price,dva_trades,P_end,A_P_dca,A_extra_shares,A_mix_shares,A_mix_avg_price,A_dca_pure_shares,A_eff_mix,A_eff_dca,A_improvement,B_P_dca,B_extra_shares,B_mix_shares,B_mix_avg_price,B_dca_pure_shares,B_eff_mix,B_eff_dca,B_improvement,n_months,monthly_budget,n_days
2782.T,True,1200,3475271.5087890625,2524728.4912109375,2896.0595906575522,12,3445.243408203125,2972.284747314453,800,2000,2926.5496533203127,2000,1.1484144694010416,1.1484144694010416,1.0,3148.319204711914,800,2000,2996.9634362792967,1900,1.1484144694010416,1.0909937459309895,1.0526315789473684,120,50000.0,2465
8871.T,True,1400,1785325.8544921875,4214674.1455078125,1275.2327532087054,14,3261.035400390625,1562.9689529006546,2600,4000,1462.2612830084724,3800,2.1740236002604165,2.0653224202473957,1.0526315789473684,1742.361139424642,2400,3800,1570.261207660876,3400,2.0653224202473957,1.8479200602213541,1.1176470588235294,120,50000.0,2465
8928.T,True,1800,2107097.4182128906,3892902.5817871094,1170.6096767849392,18,2184.6708984375,1412.1974392845518,2700,4500,1315.5623342847066,4200,1.638503173828125,1.52926962890625,1.0714285714285714,1513.2192395528157,2500,4300,1369.8012830453324,3900,1.565680810546875,1.420036083984375,1.1025641025641024,120,50000.0,2465
3437.T,True,1600,2797535.5102539062,3202464.4897460938,1748.4596939086914,16,3341.81201171875,1742.1144982540245,1800,3400,1745.10047267975,3400,1.8936934733072917,1.8936934733072917,1.0,1880.5740290323893,1700,3300,1816.5185938208992,3100,1.8379966064453126,1.7266028727213543,1.064516129032258,120,50000.0,2465
2790.T,True,2100,2519941.729736328,3480058.270263672,1199.9722522553943,21,2194.309814453125,1500.0625266050681,2300,4400,1356.8376229381784,3900,1.6091605305989582,1.4263013793945312,1.1282051282051282,1592.5349561055502,2100,4200,1396.2536041804722,3700,1.5360168701171875,1.3531577189127604,1.135135135135135,120,50000.0,2465
3944.T,True,1700,3001347.9248046875,2998652.0751953125,1765.498779296875,17,2326.4716796875,1869.672892908896,1600,3300,1816.0074404420975,3200,1.279559423828125,1.2407848958333334,1.0312499999999998,1943.267714436849,1500,3200,1848.8279676437378,3000,1.2407848958333334,1.16323583984375,1.0666666666666669,120,50000.0,2465
3690.T,True,4900,3794877.151489258,2205122.848510742,774.4647247937261,49,570.0,917.9763559194712,2400,7300,821.6466309172588,6500,0.6935,0.6175,1.123076923076923,1142.2706720987956,1900,6800,877.2340335995542,5200,0.646,0.494,1.3076923076923077,120,50000.0,2465
2689.T,True,2100,2146029.0466308594,3853970.9533691406,1021.9185936337426,21,1963.60693359375,1247.0323092142742,3000,5100,1154.3384263281728,4800,1.6690658935546876,1.570885546875,1.0625,1318.2697347005208,2900,5000,1193.802255452474,4500,1.636339111328125,1.4727052001953125,1.1111111111111112,120,50000.0,2465
4624.T,True,1000,2749365.5517578125,3250634.4482421875,2749.3655517578127,10,3545.747314453125,2867.9647583007813,1100,2100,2811.4889456612723,2000,1.2410115600585938,1.181915771484375,1.05,2911.1798283894855,1100,2100,2834.1254109458314,2000,1.2410115600585938,1.181915771484375,1.05,120,50000.0,2465
3710.T,True,4100,2921255.37109375,3078744.62890625,712.5013100228658,41,576.0,762.5718336838943,4000,8100,737.2274945468305,7800,0.7776,0.7488,1.0384615384615383,815.435860188802,3700,7800,761.3292376656817,7300,0.7488,0.7008,1.0684931506849316,120,50000.0,2465
