score_threshold,w_shortage,w_value,w_bb,w_trend,w_risk,value_band,risk_ratio,max_lots_per_trade,lot_size,all_A_mean,all_A_median,all_A_winrate,all_B_mean,all_B_median,all_B_winrate,full_A_mean,full_B_mean,is_A_mean,is_B_mean,oos_A_mean,oos_B_mean,combo_score
0.4,0.05,0.05,0.45,0.45,-0.1,0.25,1.0,2,100,1.016772654534876,1.0087719298245612,0.5142857142857142,1.245608316052546,1.1818181818181819,0.9714285714285714,1.0158148444744965,1.2324862591982995,1.0204985994298295,1.1138792422697763,1.0092765916707478,1.1309444266284643,1.013024623102812
0.4,0.05,0.05,0.45,0.45,-0.1,0.25,1.3,2,100,1.0127245373712148,1.0044642857142858,0.5142857142857142,1.2548011962462364,1.1764705882352942,0.9809523809523809,1.0135216414598505,1.2322143711636273,1.0140945061891007,1.1117013857961224,1.0106616729038789,1.1367016460900097,1.0116931051375468
0.55,0.05,0.05,0.45,0.45,-0.2,0.15,1.0,2,100,0.9777171720325104,1.0,0.3238095238095238,1.1361617946477727,1.0892857142857144,0.8857142857142857,0.9782839667828959,1.1485760206120665,0.9866399761094116,1.0531875846100127,1.0048209450383552,1.0796017820816943,0.9912690585354328
0.55,0.05,0.05,0.45,0.45,-0.2,0.15,1.3,2,100,0.9777171720325104,1.0,0.3238095238095238,1.1359236994096775,1.0892857142857144,0.8857142857142857,0.9782839667828959,1.1482239079360104,0.9867930685772621,1.053359346891016,1.0048209450383552,1.0796017820816943,0.9912690585354328
0.55,0.05,0.05,0.45,0.45,-0.2,0.25,1.0,2,100,0.9785436678099746,1.0,0.3238095238095238,1.1364503660903769,1.0892857142857144,0.8952380952380953,0.9783973334397859,1.1486793131180806,0.9863971397810968,1.0526830263356886,1.0048209450383552,1.0796017820816943,0.9916823064241649
0.55,0.05,0.05,0.45,0.45,-0.2,0.25,1.3,2,100,0.9785436678099746,1.0,0.3238095238095238,1.1364503660903769,1.0892857142857144,0.8952380952380953,0.9783973334397859,1.1486793131180806,0.9863971397810968,1.0526830263356886,1.0048209450383552,1.0796017820816943,0.9916823064241649
0.55,0.05,0.05,0.45,0.45,-0.1,0.15,1.0,2,100,0.9777171720325104,1.0,0.3238095238095238,1.1361617946477727,1.0892857142857144,0.8857142857142857,0.9782839667828959,1.1485760206120665,0.9866399761094116,1.0531875846100127,1.0048209450383552,1.0796017820816943,0.9912690585354328
0.55,0.05,0.05,0.45,0.45,-0.1,0.15,1.3,2,100,0.9777171720325104,1.0,0.3238095238095238,1.1359236994096775,1.0892857142857144,0.8857142857142857,0.9782839667828959,1.1482239079360104,0.9867930685772621,1.053359346891016,1.0048209450383552,1.0796017820816943,0.9912690585354328
0.55,0.05,0.05,0.45,0.45,-0.1,0.25,1.0,2,100,0.9785436678099746,1.0,0.3238095238095238,1.1364503660903769,1.0892857142857144,0.8952380952380953,0.9783973334397859,1.1486793131180806,0.9863971397810968,1.0526830263356886,1.0048209450383552,1.0796017820816943,0.9916823064241649
0.55,0.05,0.05,0.45,0.45,-0.1,0.25,1.3,2,100,0.9785436678099746,1.0,0.3238095238095238,1.1364503660903769,1.0892857142857144,0.8952380952380953,0.9783973334397859,1.1486793131180806,0.9863971397810968,1.0526830263356886,1.0048209450383552,1.0796017820816943,0.9916823064241649
