ticker,sigma,hurst,corr_bmk,mu,mdd,log_vol,n_days,full_10y
8928.T,0.20488159924352192,0.4119270040933,0.5164954887172867,0.09291648605797698,-0.376940138048462,9.402051950315238,2465,True
3437.T,0.2721760205596861,0.38793507652220294,0.13106219849183448,0.14194495403382956,-0.2754714551955206,7.300445421622996,2465,True
2790.T,0.2460212381192337,0.5725255614711621,0.34988177912054935,0.04257795294761424,-0.5499365488745921,10.15957949553097,2465,True
3944.T,0.24560598113475227,0.45080247538401125,0.2714735724194997,0.0651849540063214,-0.42289047495352095,6.838848610676136,2465,True
3690.T,0.49282045198806207,0.3871028471869239,0.29098411043361944,-0.1448971386492487,-0.8962040440345105,10.863846528699167,2465,True
2689.T,0.23387414414281008,0.4364783665206494,0.3545057087104524,0.09015665700337117,-0.43271632265208204,8.88621957376987,2465,True
4624.T,0.20466451014606693,0.4445564351138675,0.13316499723859668,0.048020715433558125,-0.31510043504369134,6.598473102671697,2465,True
3710.T,0.3923261259485021,0.45058400655937014,0.19002514490618977,-0.019268365677103882,-0.6891839319723891,10.232252169740503,2465,True
3951.T,0.1718366557681338,0.4123410906849329,0.24234534840712574,0.014284709228082448,-0.3768852467224827,8.832981525833079,2465,True
3958.T,0.2598802741344128,0.2747244202068868,0.3901016261426179,-0.03641563049257546,-0.3380404261600113,11.041325050750288,556,False
4623.T,0.12278773622861025,0.4687021887716545,0.18625286730008475,0.03483614749680575,-0.17585306432931266,7.8466201191886364,2465,True
3955.T,0.2850305788597647,0.433372858299832,0.1584154864327782,0.08908813102193158,-0.3857741266327463,9.963967360144785,2465,True
3067.T,0.21739007123721318,0.39053495810168654,0.3874731262322769,-0.028944093735783438,-0.4761465123530685,9.486667089972991,2465,True
3484.T,0.3958341540964746,0.34015125054102535,0.30517005456872304,0.05498645603193153,-0.519330725485851,11.13087283068821,2015,False
3020.T,0.3830170203246696,0.4805826791225568,0.31387609973113456,0.152049485286883,-0.6968023270343944,8.940545505960522,2465,True
3435.T,0.2519977430715272,0.48323368751631707,0.2855794828478127,0.04491290207625198,-0.42367869988453116,8.450434709678865,2465,True
3134.T,0.6389190653362978,0.4704101488417189,0.2881600350304774,0.074194387625937,-0.8174560544467023,12.467337640083299,2465,True
3943.T,0.19143467223949392,0.45178280093302003,0.1733484670551824,0.16936351397830784,-0.2238143935853742,8.669744592776174,943,False
3698.T,0.5346600229195403,0.4497192934164644,0.3480466176619527,-0.008500402485047687,-0.8583322387579186,11.143967129647352,2465,True
4635.T,0.2559475472021398,0.5401965857552559,0.31184838690518857,0.16972506617335759,-0.5793549493454655,9.829281135842722,2465,True
3096.T,0.15338042982023278,0.489087221640854,0.28856009243584224,0.0658423905197214,-0.3419143330041106,8.579355539762993,2465,True
3426.T,0.22452370914442316,0.32124506829833077,0.14279749650536447,0.05787067583104166,-0.29730712887165633,6.95546884721654,2465,True
3667.T,0.7082275074026243,0.5307773043916462,0.3081776337998256,-0.21261195656510656,-0.9850359712230216,13.786973036451778,2465,True
3080.T,0.3475269277833048,0.48705619178494075,0.22746551502562684,0.1173021137403043,-0.5164078425594154,9.779956754742473,2465,True
3011.T,0.33354267956172134,0.37126830042441294,0.25234429271169007,-0.016718005541281666,-0.6978112399004373,10.615040021764447,2465,True
8844.T,0.4035989691844457,0.48564940270692547,0.44424823640389394,0.12074055998331179,-0.6444939617554128,11.268231199000217,2465,True
2991.T,0.46814830417717523,0.36900658023879845,0.27913837328276203,0.24501652123619544,-0.4963017228492857,11.568322676024867,1088,False
8869.T,0.29200440743755546,0.4855545582763823,0.4924853302553383,0.13485180387425366,-0.5587042017908165,11.335703895304155,2465,True
8904.T,0.21556111237273198,0.44992602633227524,0.5111216572646683,0.00990915509698409,-0.5676705680825527,10.337322141207048,2465,True
2370.T,0.6626098877169742,0.43927557840659526,0.28515237022744305,-0.15046336694326667,-0.8841201716738197,14.861969150890111,2465,True
4588.T,0.7423411333180926,0.4767694386179221,0.24449002452461155,0.08294707696888026,-0.8936854190585534,13.42267857948318,2465,True
4013.T,0.48515192675222607,0.5900636811371909,0.31692073389493225,-0.1126394190987906,-0.886404610772706,11.540858578931758,1278,False
4893.T,0.7812029837415729,0.4356181898287761,0.28465802495548914,-0.49801371092929314,-0.8307692307692308,13.65969928738194,615,False
4881.T,0.6023305257790609,0.32657439697538543,0.2846289078034155,-0.37037537660869935,-0.9025641025641026,13.281560786895449,1227,False
3911.T,0.6264429722802219,0.42768203841118213,0.28516181708361577,-0.12025040125740816,-0.8333352578430645,14.026546926432209,2465,True
