date,price,score,q_score,q_cash,q_exec,buy_lots,buy_shares,cost,cash_after,contribution_cum,shares_after,shortage,value,bb,trend,risk
2015-09-28,16.562000274658203,0.47262625087413906,0.041138637952980096,1.0,0.3287970465670861,2,2,33.124000549316406,9885.41400051117,10500.0,47,0.9273632906570775,0.11404069518034653,0.0,1.0,0.2093257208447965
2015-09-29,16.44333267211914,0.47753610098799315,0.050065638159987526,1.0,0.3350459467119913,2,2,32.88666534423828,9852.527335166931,10500.0,49,0.9243503751718845,0.13523766502433068,0.0,1.0,0.21659856540341038
2015-09-30,16.559999465942383,0.47798193226992214,0.0508762404907675,1.0,0.3356133683435373,2,2,33.119998931884766,9819.407336235046,10500.0,51,0.9212825527044556,0.09130439548022863,0.0,1.0,0.13211749797358685
2015-10-01,15.991999626159668,0.5203815908092653,0.12796652874411865,1.0,0.3895765701208831,2,2,31.983999252319336,10287.423336982727,11000.0,53,0.9221805211025653,0.23610755366342012,0.0,1.0,0.17509617679414813
2015-10-02,16.504667282104492,0.45232575153708776,0.004228639158341364,1.0,0.302960047410839,2,2,33.009334564208984,10254.414002418518,11000.0,55,0.9192572278181869,0.07556616741428887,0.0,1.0,0.22931218397139363
2015-10-05,16.40999984741211,0.46303718783466347,0.02370397788120628,1.0,0.3165927845168444,2,2,32.81999969482422,10221.594002723694,11000.0,57,0.9163760136126476,0.09411098527406694,0.0,1.0,0.2031663088784328
2015-10-06,16.097333908081055,0.4701327161895744,0.03660493852649892,1.0,0.3256234569685493,2,2,32.19466781616211,10189.399334907532,11000.0,59,0.9136447986276115,0.17032812163856553,0.0,1.0,0.2962890295179377
2015-10-07,15.46399974822998,0.48756152903286026,0.068293689150655,1.0,0.34780558240545856,2,2,30.92799949645996,10158.471335411072,11000.0,61,0.9112283093772675,0.32828141522236703,0.0,1.0,0.4813343728850592
2015-10-08,15.114666938781738,0.5060845684985,0.10197194272454549,1.0,0.3713803599071819,2,2,30.229333877563477,10128.242001533508,11000.0,63,0.9089774997157116,0.3957703745275673,0.0,1.0,0.5028859374332377
2015-10-09,14.712667465209961,0.5262405993570096,0.13861927155819928,1.0,0.3970334900907395,2,2,29.425334930419922,10098.816666603088,11000.0,65,0.9069210969142836,0.47354683362933747,0.0,1.0,0.5346158816662889
2015-10-12,14.371999740600586,0.5446346946308314,0.17206308114696608,1.0,0.4204441568028763,2,2,28.743999481201172,10070.072667121887,11000.0,67,0.9050241478530217,0.5291028670522049,0.0,1.0,0.5365488029299899
2015-10-13,14.616666793823242,0.4887907639138447,0.07052866166153576,1.0,0.34937006316307506,2,2,29.233333587646484,10040.83933353424,11000.0,69,0.9029465184556551,0.41341602399864796,0.0,1.0,0.6096806297258066
2015-10-14,14.458666801452637,0.5241758287716214,0.13486514322112977,1.0,0.3944056002547909,2,2,28.917333602905273,10011.921999931335,11000.0,71,0.9009308593010772,0.4226274229844767,0.0,1.0,0.44534785014161193
2015-10-15,14.753999710083008,0.4766270944132923,0.04841289893325874,1.0,0.3338890292532812,2,2,29.507999420166016,9982.41400051117,11000.0,73,0.8986983707892146,0.2996628727989797,0.0,1.0,0.4639967042128783
2016-01-13,13.354000091552734,0.4733325764753761,0.04242286631886557,1.0,0.32969600642320596,2,2,26.70800018310547,11455.706000328064,12500.0,75,0.9141609205415482,0.4573510674461644,0.0,1.0,0.7834830966016166
2016-01-15,13.666000366210938,0.4725363791269983,0.04097523477636054,1.0,0.3286826643434524,2,2,27.332000732421875,11428.373999595642,12500.0,77,0.9128919287785838,0.2934325690185708,0.0,1.0,0.49838597551002883
2016-01-19,13.64799976348877,0.45997592756755046,0.018138050122818994,1.0,0.31269663508597334,2,2,27.29599952697754,11401.078000068665,12500.0,79,0.9110794539819711,0.2726516925545504,0.0,1.0,0.5216498686011606
2016-01-20,13.24666690826416,0.48132904250701675,0.05696189546730315,1.0,0.33987332682711224,2,2,26.49333381652832,11374.584666252136,12500.0,81,0.9094851851938549,0.375401527389209,0.0,1.0,0.5919065344852783
2016-01-21,13.33133316040039,0.4579021689104596,0.014367579837199242,1.0,0.3100573058860395,2,2,26.66266632080078,11347.921999931335,12500.0,83,0.9078050318688357,0.31498081562905966,0.0,1.0,0.6003643885690189
2016-01-25,13.092000007629395,0.4695229369517345,0.03549624900315366,1.0,0.3248473743022076,2,2,26.18400001525879,11321.737999916077,12500.0,85,0.9066611593877923,0.34326334672248066,0.0,1.0,0.5897532009343054
2016-01-26,12.904000282287598,0.49649535455494576,0.08453700828171953,1.0,0.3591759057972037,2,2,25.808000564575195,11295.929999351501,12500.0,87,0.9051587704490179,0.37399492103869036,0.0,1.0,0.5060421873287608
2016-01-27,12.538000106811523,0.5236292758035869,0.1338714105519761,1.0,0.3937099873863833,2,2,25.076000213623047,11270.853999137878,12500.0,89,0.9038613365971133,0.46153037422049326,0.0,1.0,0.5212891149128773
2016-01-28,12.646666526794434,0.5150121987174336,0.11820399766806114,1.0,0.38274279836764286,2,2,25.293333053588867,11245.56066608429,12500.0,91,0.9024421554236473,0.3850832774239868,0.0,1.0,0.42810851389619153
2016-01-29,12.74666690826416,0.517683258675086,0.1230604703183382,1.0,0.38614232922283676,2,2,25.49333381652832,11220.067332267761,12500.0,93,0.9009121700808352,0.3175008894702159,0.0,1.0,0.2938065608389089
2016-02-02,12.185333251953125,0.5523984195577155,0.1861789446503918,1.0,0.4303252612552743,2,2,24.37066650390625,11695.696665763855,13000.0,95,0.9038974493990412,0.4646365329169123,0.0,1.0,0.38294237126434094
2016-02-03,11.565333366394043,0.7471360809715688,0.5402474199483068,1.0,0.6781731939638148,3,3,34.69600009918213,11661.000665664673,13000.0,98,0.9031310492561471,0.6376167477555698,1.0,1.0,0.46062823991266044
2016-02-04,11.688667297363281,0.5542535417796427,0.18955189414480486,1.0,0.43268632590136347,2,2,23.377334594726562,11637.623331069946,13000.0,100,0.9011971156050662,0.5408908658559154,0.0,1.0,0.5023862586585042
2016-02-05,10.84000015258789,0.747052100640356,0.5400947284370108,1.0,0.6780663099059075,3,3,32.52000045776367,11605.103330612183,13000.0,103,0.9008411733742399,0.795401206537364,1.0,1.0,0.7331636616435264
2016-02-08,9.866000175476074,0.7704937318261404,0.5827158760475281,1.0,0.7079011132332697,3,3,29.598000526428223,11575.505330085754,13000.0,106,0.9001487431574808,1.0,1.0,1.0,0.9727916413948887
2016-02-09,9.883333206176758,0.7658747455042803,0.5743177190986913,1.0,0.702022403369084,3,3,29.649999618530273,11545.855330467224,13000.0,109,0.8993521081638426,0.9965789158529775,1.0,1.0,0.9885055645080345
2016-02-10,9.57800006866455,0.6171498449874507,0.3039088090680922,1.0,0.5127361663476646,3,3,28.734000205993652,11517.12133026123,13000.0,112,0.8987120181943615,1.0,0.0,1.0,0.9869968069028789
2016-02-11,10.031332969665527,0.5371147325424703,0.15839042280449148,1.0,0.41087329596314404,2,2,20.062665939331055,11497.0586643219,13000.0,114,0.8976054120220944,0.7798652523849635,0.0,1.0,1.0
2016-02-12,10.06933307647705,0.5095191907233938,0.10821671040617052,1.0,0.3757516972843194,2,2,20.1386661529541,11476.919998168945,13000.0,116,0.897293390315189,0.7013328688945081,0.0,1.0,1.0
2016-02-16,10.344667434692383,0.4507746482615678,0.0014084513846687487,1.0,0.30098591596926816,2,2,20.689334869384766,11456.23066329956,13000.0,118,0.896653635852389,0.5341310734663761,0.0,1.0,1.0
2016-05-04,14.837332725524902,0.5477051622341125,0.1776457495165681,1.0,0.4243520246615977,2,2,29.674665451049805,12926.55599784851,14500.0,120,0.8684489820181783,0.4107086243650005,1.0,1.0,1.0
2016-05-05,14.10200023651123,0.6083139976295191,0.28784363205367103,1.0,0.5014905424375697,3,3,42.30600070953369,12884.249997138977,14500.0,123,0.86784544540433,0.5844802621085818,1.0,1.0,1.0
2016-06-22,13.11066722869873,0.5807282634661242,0.23768775175658935,1.0,0.46638142622961254,2,2,26.22133445739746,13358.02866268158,15000.0,125,0.8807388546002007,0.4927704695887257,1.0,1.0,1.0
2016-06-23,13.09333324432373,0.5674285658781562,0.21350648341482933,1.0,0.4494545383903806,2,2,26.18666648864746,13331.841996192932,15000.0,127,0.8799510052360097,0.45555918298729364,1.0,1.0,1.0
2016-08-29,14.346667289733887,0.4713384318011122,0.03879714872929485,1.0,0.32715800411050644,2,2,28.693334579467773,14303.148661613464,16000.0,129,0.8818933732148135,0.17907357478836433,1.0,1.0,1.0
2016-08-30,14.089332580566406,0.4927411454696828,0.0777111735812414,1.0,0.35439782150686905,2,2,28.178665161132812,14274.969996452332,16000.0,131,0.8806402196441997,0.24147733884060826,1.0,1.0,1.0
