threshold,score_mix_lambda,w_shortage,w_value,w_bb,w_trend,w_risk,shares,spent,cash,trades,avg_price
0.4,0.6,0.35,0.45,0.2,0.15,0.2,389,14556.078702926636,45443.921297073364,169,37.41922545739495
0.45,0.7,0.45,0.35,0.2,0.15,0.1,389,12604.497906684875,47395.502093315125,180,32.40230824340585
0.4,0.8,0.45,0.45,0.2,0.15,0.3,388,13324.393698692322,46675.60630130768,207,34.341220872918356
0.4,0.6,0.35,0.35,0.15,0.15,0.1,388,13044.799324989319,46955.20067501068,175,33.62061681698278
0.4,0.7,0.45,0.35,0.2,0.15,0.3,388,13012.725935935974,46987.274064064026,181,33.53795344313395
0.4,0.7,0.35,0.35,0.2,0.15,0.1,387,13556.133458137512,46443.86654186249,179,35.028768625678325
0.45,0.7,0.45,0.45,0.2,0.15,0.2,387,12991.399764060974,47008.600235939026,175,33.56950843426608
0.4,0.8,0.35,0.45,0.15,0.15,0.1,386,13250.990015983582,46749.00998401642,233,34.32898967871394
0.4,0.6,0.45,0.35,0.15,0.15,0.3,386,12283.147875785828,47716.85212421417,174,31.821626621206807
0.45,0.6,0.45,0.45,0.15,0.15,0.2,385,12432.855712890625,47567.144287109375,169,32.293131721793834
0.4,0.7,0.45,0.25,0.2,0.15,0.2,385,12361.253603935242,47638.74639606476,181,32.10715221801362
0.4,0.7,0.45,0.45,0.2,0.1,0.2,384,12896.236556053162,47103.76344394684,176,33.583949364721775
0.45,0.8,0.45,0.45,0.1,0.15,0.1,384,11323.033285140991,48676.96671485901,233,29.487065846721332
0.45,0.6,0.45,0.35,0.15,0.15,0.1,384,11236.272810935974,48763.727189064026,173,29.26112711181243
0.4,0.8,0.45,0.25,0.15,0.15,0.1,383,10675.895495414734,49324.104504585266,250,27.874400771317845
0.4,0.7,0.35,0.45,0.2,0.15,0.2,382,13864.86168384552,46135.13831615448,175,36.29544943415058
0.4,0.8,0.45,0.45,0.1,0.1,0.1,382,11243.988308906555,48756.011691093445,239,29.43452436886533
0.4,0.6,0.45,0.35,0.15,0.1,0.1,381,11119.75179195404,48880.24820804596,173,29.18570024134919
0.4,0.6,0.45,0.45,0.15,0.1,0.2,380,12315.323901176453,47684.67609882355,169,32.40874710835909
0.4,0.8,0.45,0.35,0.15,0.15,0.2,380,11702.849245071411,48297.15075492859,225,30.796971697556344
0.4,0.8,0.45,0.25,0.1,0.15,0.1,380,10620.760565757751,49379.23943424225,254,27.94936990988882
0.4,0.7,0.35,0.35,0.15,0.15,0.1,379,12666.157551765442,47333.84244823456,179,33.419940769829665
0.45,0.6,0.45,0.35,0.1,0.15,0.1,379,10955.893691062927,49044.10630893707,172,28.907371216524876
0.45,0.7,0.45,0.45,0.15,0.15,0.2,378,12250.746718406677,47749.25328159332,174,32.40938285292772
0.4,0.6,0.45,0.35,0.1,0.1,0.1,378,10902.758814811707,49097.24118518829,173,28.843277287861657
0.4,0.6,0.35,0.45,0.15,0.15,0.2,377,13113.997835159302,46886.0021648407,167,34.78514014631114
0.4,0.7,0.45,0.45,0.15,0.1,0.2,377,12251.601437568665,47748.398562431335,176,32.49761654527497
0.4,0.8,0.45,0.45,0.15,0.15,0.3,376,12240.20171546936,47759.79828453064,204,32.55372796667383
0.45,0.7,0.45,0.35,0.15,0.15,0.1,376,10863.921154022217,49136.07884597778,176,28.89340732452717
0.4,0.8,0.35,0.45,0.1,0.15,0.1,375,12044.004748344421,47955.99525165558,232,32.117345995585126
0.4,0.7,0.45,0.35,0.15,0.15,0.3,375,11868.190004348755,48131.809995651245,177,31.648506678263345
0.4,0.7,0.45,0.35,0.15,0.1,0.1,375,10834.655727386475,49165.344272613525,178,28.8924152730306
0.4,0.6,0.45,0.35,0.1,0.15,0.3,373,11146.034363746643,48853.96563625336,169,29.88212966151915
0.4,0.6,0.45,0.25,0.15,0.15,0.2,373,10674.662034034729,49325.33796596527,171,28.618396874087747
0.4,0.6,0.45,0.45,0.1,0.1,0.2,372,11241.931403160095,48758.068596839905,167,30.22024570741961
0.45,0.6,0.45,0.45,0.1,0.15,0.2,372,11220.208103179932,48779.79189682007,165,30.161849739731
0.4,0.7,0.45,0.35,0.1,0.1,0.1,372,10643.298059463501,49356.7019405365,181,28.61101628888038
