date,price,ema20,bb_low,vol,mkt_vol,cash_before_trade,contribution_cum,shares_before_trade,score,q_score,q_cash,q_exec,affordable_lots,wish_lots,buy_lots,buy_shares,cost,shortage,value,bb,trend,risk
2022-05-05,18.80975341796875,20.767172396426947,17.539849432268834,0.6798099714532188,0.2945483917055512,48965.65454927087,50500.0,369,0.4271742189560538,0.0,0.0,0.0,2603,0,0,0,0.0,0.8482557106082863,0.4712772016076142,0.0,1.0,0.9233115015975568
2022-05-06,18.641063690185547,20.564685852975387,17.68877527702642,0.6797553546148042,0.2930955666401771,48965.65454927087,50500.0,369,0.4245645175402615,0.0,0.0,0.0,2626,0,0,0,0.0,0.849735265747566,0.4677003520847663,0.0,1.0,0.9326897435052739
2022-05-09,16.91919708251953,20.217496446265304,17.257121834857717,0.7292434691107682,0.30915654048757163,48965.65454927087,50500.0,369,0.6906556846923302,0.43755579034969116,1.0,0.6062890532447838,2894,3,3,3,50.757591247558594,0.8522721546797644,0.8157042026721993,1.0,1.0,0.9656802019042854
2022-05-10,17.563020706176758,19.964689232923536,16.94167595969105,0.7376553903237757,0.30747370138489194,48914.89695802331,50500.0,372,0.4591969393109777,0.016721707838141277,1.0,0.31170519548669895,2785,2,2,2,35.126041412353516,0.8529333783238108,0.601479066046822,0.0,1.0,0.9992370810937188
2022-05-11,16.599775314331055,19.644221240676636,16.403848790726144,0.7543355977968289,0.31022505740182005,48879.770916610956,50500.0,374,0.5202942433980411,0.1278077152691656,1.0,0.38946540068841595,2944,2,2,2,33.19955062866211,0.8545160644749888,0.7748960595194143,0.0,1.0,1.0
2022-05-12,16.145605087280273,19.311019702257937,15.966475728593178,0.7375666109132119,0.30451764408767357,48846.571365982294,50500.0,376,0.5365323040467702,0.15733146190321853,1.0,0.410132023332253,3025,2,2,2,32.29121017456055,0.8562189424148716,0.8195876405759008,0.0,1.0,1.0
2022-05-13,17.67382049560547,19.155095968291036,15.869266783843397,0.8244644958818386,0.321221766530274,48814.28015580773,50500.0,378,0.3851460289626117,0.0,0.0,0.0,2761,0,0,0,0.0,0.8566212618611087,0.38665310660349633,0.0,1.0,1.0
2022-05-16,17.23262596130371,18.972003586673193,15.835097198934223,0.8173031556815358,0.32088231419763974,48814.28015580773,50500.0,378,0.410739352266782,0.0,0.0,0.0,2832,0,0,0,0.0,0.8579917355294561,0.4584064138042068,0.0,1.0,1.0
2022-05-17,18.143966674804688,18.893142928400003,16.15291686253371,0.8418726507233474,0.32466317682277485,48814.28015580773,50500.0,378,0.3198970548365127,0.0,0.0,0.0,2690,0,0,0,0.0,0.8585820192686099,0.1982667088357122,0.0,1.0,1.0
2022-05-18,16.907217025756836,18.704007128148273,16.188157588709327,0.8645920138074995,0.34871958343179843,48814.28015580773,50500.0,378,0.41911198742615813,0.0,0.0,0.0,2887,0,0,0,0.0,0.8599977288229693,0.48032223525176826,0.0,1.0,1.0
