threshold,score_mix_lambda,w_shortage,w_value,w_bb,w_trend,w_risk,shares,spent,cash,trades,avg_price
0.4,0.6,0.25,0.45,0.1,0.15,0.1,557,22723.026132583618,37276.97386741638,239,40.79537905311242
0.4,0.6,0.45,0.35,0.15,0.15,0.2,557,9345.390036582947,50654.60996341705,232,16.778079060292544
0.4,0.7,0.25,0.45,0.2,0.15,0.1,553,23952.009450912476,36047.990549087524,242,43.312856149932145
0.4,0.8,0.45,0.45,0.15,0.05,0.1,553,10821.499345779419,49178.50065422058,301,19.568714910993524
0.4,0.7,0.45,0.25,0.1,0.1,0.1,553,8694.236699104309,51305.76330089569,268,15.72194701465517
0.45,0.7,0.45,0.25,0.1,0.15,0.1,553,8691.569366455078,51308.43063354492,266,15.717123628309364
0.4,0.6,0.45,0.35,0.1,0.15,0.2,552,8978.581377029419,51021.41862297058,235,16.265545972879384
0.4,0.8,0.35,0.35,0.15,0.15,0.1,549,12442.970025062561,47557.02997493744,318,22.664790573884446
0.45,0.8,0.45,0.45,0.1,0.1,0.1,549,9886.986686706543,50113.01331329346,300,18.009083218044704
0.4,0.7,0.45,0.35,0.2,0.15,0.2,545,10522.396689414978,49477.60331058502,242,19.30714988883482
0.4,0.7,0.25,0.45,0.15,0.15,0.1,544,22836.158785820007,37163.84121417999,243,41.97823306216913
0.4,0.8,0.45,0.45,0.1,0.05,0.1,543,9813.568024635315,50186.431975364685,304,18.072869290304446
0.45,0.8,0.35,0.45,0.2,0.15,0.1,541,16897.46074104309,43102.53925895691,283,31.23375368030146
0.5,0.6,0.45,0.35,0.2,0.15,0.1,539,10225.463337898254,49774.536662101746,221,18.97117502392997
0.4,0.6,0.45,0.35,0.2,0.05,0.1,537,10264.614674568176,49735.385325431824,228,19.114738686346698
0.45,0.6,0.45,0.35,0.2,0.1,0.1,537,10224.27000617981,49775.72999382019,225,19.039608950055513
0.45,0.6,0.45,0.45,0.2,0.15,0.2,534,10482.61001777649,49517.38998222351,212,19.63035583853275
0.4,0.7,0.45,0.35,0.15,0.15,0.2,534,9051.98670387268,50948.01329612732,242,16.95128596230839
0.4,0.8,0.35,0.35,0.1,0.15,0.1,533,10360.682017326355,49639.317982673645,316,19.43842779986183
0.5,0.7,0.45,0.35,0.2,0.15,0.1,533,10212.417343139648,49787.58265686035,231,19.160257679436487
0.4,0.8,0.35,0.45,0.2,0.1,0.1,532,16775.51674079895,43224.48325920105,285,31.532926204509305
0.5,0.6,0.45,0.35,0.15,0.15,0.1,532,8843.17535686493,51156.82464313507,221,16.62251006929498
0.45,0.6,0.45,0.35,0.15,0.1,0.1,531,8838.435356140137,51161.56464385986,224,16.644887676346773
0.4,0.6,0.45,0.35,0.15,0.05,0.1,530,8849.015358924866,51150.984641075134,227,16.69625539419786
0.4,0.7,0.45,0.35,0.1,0.15,0.2,530,8684.998037338257,51315.00196266174,246,16.386788749694823
0.4,0.6,0.45,0.45,0.2,0.1,0.2,529,10295.50202178955,49704.49797821045,215,19.462196638543574
0.45,0.7,0.45,0.35,0.2,0.1,0.1,527,10097.936674118042,49902.06332588196,232,19.161170159616777
0.5,0.6,0.45,0.35,0.1,0.15,0.1,527,8462.74670124054,51537.25329875946,223,16.05834288660444
0.45,0.6,0.45,0.45,0.15,0.15,0.2,526,9388.438691139221,50611.56130886078,213,17.848742758819814
0.45,0.6,0.45,0.35,0.1,0.1,0.1,526,8470.289366722107,51529.71063327789,226,16.103211723806286
0.4,0.7,0.25,0.45,0.1,0.15,0.1,525,21446.76546573639,38553.23453426361,242,40.850981839497884
0.4,0.6,0.45,0.35,0.1,0.05,0.1,525,8465.44336605072,51534.55663394928,228,16.1246540305728
0.45,0.8,0.35,0.45,0.15,0.15,0.1,524,15064.570071220398,44935.4299287796,283,28.749179525229767
0.5,0.7,0.45,0.35,0.15,0.15,0.1,522,8715.384023666382,51284.61597633362,230,16.69613797637238
0.4,0.6,0.35,0.25,0.2,0.15,0.1,521,11470.35336303711,48529.64663696289,226,22.016033326366813
0.4,0.7,0.45,0.35,0.2,0.05,0.1,520,9984.26267337799,50015.73732662201,233,19.20050514111152
0.45,0.8,0.45,0.25,0.2,0.15,0.1,520,8336.141362190247,51663.85863780975,301,16.03104108113509
0.4,0.6,0.45,0.45,0.15,0.1,0.2,519,9266.479356765747,50733.52064323425,213,17.85448816332514
0.45,0.6,0.45,0.45,0.1,0.15,0.2,518,8495.853377342224,51504.146622657776,212,16.401261346220508
0.4,0.8,0.35,0.45,0.15,0.1,0.1,516,14957.28740310669,45042.71259689331,284,28.986991091292033
0.45,0.7,0.45,0.35,0.15,0.1,0.1,515,8604.744023323059,51395.25597667694,231,16.70824082198652
0.4,0.8,0.45,0.25,0.2,0.1,0.1,514,8263.776027679443,51736.22397232056,305,16.07738526785884
0.45,0.7,0.45,0.45,0.2,0.15,0.2,513,10060.446016311646,49939.553983688354,219,19.611005879749797
0.45,0.8,0.45,0.25,0.15,0.15,0.1,513,8117.832030296326,51882.167969703674,305,15.82423397718582
0.55,0.6,0.45,0.45,0.2,0.15,0.1,512,10003.385341644287,49996.61465835571,198,19.537861995399
0.4,0.6,0.45,0.45,0.1,0.1,0.2,512,8382.510039329529,51617.48996067047,214,16.372089920565486
0.5,0.7,0.45,0.35,0.1,0.15,0.1,512,8248.26003074646,51751.73996925354,233,16.10988287255168
0.4,0.7,0.45,0.45,0.2,0.1,0.2,510,10040.139348983765,49959.860651016235,221,19.68654774310542
0.4,0.7,0.45,0.35,0.15,0.05,0.1,510,8504.7113571167,51495.2886428833,232,16.67590462179745
0.45,0.7,0.45,0.35,0.1,0.1,0.1,510,8223.57336807251,51776.42663192749,235,16.124653662887273
0.4,0.8,0.45,0.35,0.2,0.15,0.2,508,9573.596020698547,50426.40397930145,275,18.845661458068008
0.45,0.8,0.45,0.25,0.1,0.15,0.1,508,8045.184025764465,51954.815974235535,316,15.836976428670207
0.4,0.8,0.45,0.25,0.15,0.1,0.1,508,8034.494695663452,51965.50530433655,315,15.815934440282387
0.4,0.7,0.35,0.25,0.2,0.15,0.1,506,11204.849358558655,48795.150641441345,230,22.143971064345166
0.5,0.6,0.45,0.45,0.2,0.1,0.1,505,9899.852675437927,50100.14732456207,198,19.60366866423352
0.4,0.6,0.35,0.25,0.15,0.15,0.1,505,8469.502694129944,51530.497305870056,220,16.771292463623652
0.4,0.8,0.45,0.25,0.1,0.1,0.1,505,7992.758025169373,52007.24197483063,319,15.827243614196778
0.45,0.7,0.45,0.45,0.15,0.15,0.2,504,9077.342685699463,50922.65731430054,219,18.010600566864014
0.4,0.7,0.45,0.35,0.1,0.05,0.1,503,8117.595366477966,51882.404633522034,237,16.1383605695387
0.45,0.8,0.35,0.45,0.1,0.15,0.1,502,12170.77804851532,47829.22195148468,276,24.244577785887092
0.4,0.7,0.45,0.45,0.15,0.1,0.2,502,9053.630018234253,50946.36998176575,221,18.035119558235564
0.45,0.6,0.45,0.45,0.2,0.05,0.1,501,9870.948008537292,50129.05199146271,203,19.702491035004577
0.4,0.6,0.35,0.25,0.1,0.15,0.1,501,8104.583366394043,51895.41663360596,222,16.176813106574937
0.55,0.7,0.45,0.45,0.2,0.15,0.1,500,9703.709342002869,50296.29065799713,204,19.407418684005737
