date,price,ema20,bb_low,vol,mkt_vol,cash_before_trade,contribution_cum,shares_before_trade,score,q_score,q_cash,q_exec,affordable_lots,wish_lots,buy_lots,buy_shares,cost,shortage,value,bb,trend,risk
2014-05-05,18.734317779541016,17.517808758394303,15.473068109719424,0.3427330310308681,0.12327700102907896,2028.8653993606567,2500.0,29,0.07887769644091908,0.0,0.0,0.0,108,0,0,0,0.0,0.7967934184026261,0.0,0.0,0.0,1.0
2014-05-06,18.530128479003906,17.61422016035712,15.516724760860308,0.339041352310367,0.12127740689892519,2028.8653993606567,2500.0,29,0.07848626614895005,0.0,0.0,0.0,109,0,0,0,0.0,0.7956750461398574,0.0,0.0,0.0,1.0
2014-05-07,18.465288162231445,17.695274255773725,15.577867396868424,0.3401536244549116,0.12209050143705209,2028.8653993606567,2500.0,29,0.07815718652155862,0.0,0.0,0.0,109,0,0,0,0.0,0.7947348186330248,0.0,0.0,0.0,1.0
2014-05-08,18.43236541748047,17.76547341403151,15.632556354990719,0.34036159192083143,0.11614043655059733,2028.8653993606567,2500.0,29,0.07787217793903206,0.0,0.0,0.0,110,0,0,0,0.0,0.7939205083972345,0.0,0.0,0.0,1.0
2014-05-09,18.355567932128906,17.82167289194555,15.72137730715435,0.3354209437892396,0.08562351778357893,2028.8653993606567,2500.0,29,0.07764400805870103,0.0,0.0,0.0,110,0,0,0,0.0,0.7932685944534317,0.0,0.0,0.0,1.0
2014-05-12,18.584095001220703,17.894284521400326,15.846700469781615,0.3322133094296878,0.08066036405939626,2028.8653993606567,2500.0,29,0.07734920484311464,0.0,0.0,0.0,109,0,0,0,0.0,0.7924262995517563,0.0,0.0,0.0,1.0
2014-05-13,18.61324691772461,17.96275713057407,15.986301917711614,0.3326234567939341,0.0776314449927649,2028.8653993606567,2500.0,29,0.07707120604986928,0.0,0.0,0.0,109,0,0,0,0.0,0.7916320172853408,0.0,0.0,0.0,1.0
2014-05-14,18.6166934967041,18.025036784491213,16.17522922768652,0.32950848868619265,0.07858760586221059,2028.8653993606567,2500.0,29,0.07681835065496567,0.0,0.0,0.0,108,0,0,0,0.0,0.790909573299902,0.0,0.0,0.0,1.0
2014-05-15,18.458385467529297,18.066308087637697,16.392828807931455,0.3338514554409545,0.07916681962399431,2028.8653993606567,2500.0,29,0.07665078916419088,0.0,0.0,0.0,109,0,0,0,0.0,0.7904308261834027,0.0,0.0,0.0,1.0
2014-05-16,18.730802536010742,18.129593273197035,16.623769113191607,0.3346709711967693,0.08006215864280986,2028.8653993606567,2500.0,29,0.07639385131082,0.0,0.0,0.0,108,0,0,0,0.0,0.7896967180309143,0.0,0.0,0.0,1.0
2014-05-19,18.95275115966797,18.207989262384743,16.859648962478506,0.33466732231323454,0.08010194521857956,2028.8653993606567,2500.0,29,0.07607556359471795,0.0,0.0,0.0,107,0,0,0,0.0,0.788787324556337,0.0,0.0,0.0,1.0
2014-05-20,18.95650863647461,18.279276821821874,17.156154311755074,0.33486887573776786,0.08235279612234045,2028.8653993606567,2500.0,29,0.07578613610340318,0.0,0.0,0.0,107,0,0,0,0.0,0.7879603888668663,0.0,0.0,0.0,1.0
2014-05-21,19.00666618347168,18.348551999121856,17.708710305175497,0.3269670894888872,0.08697971335105366,2028.8653993606567,2500.0,29,0.07550487888356522,0.0,0.0,0.0,106,0,0,0,0.0,0.7871567968101865,0.0,0.0,0.0,1.0
2014-05-22,19.03675651550293,18.414095286396243,17.858134461010962,0.1731573888788442,0.08714419766197086,2028.8653993606567,2500.0,29,0.14406853360980001,0.0,0.0,0.0,106,0,0,0,0.0,0.7863964946778036,0.0,0.0,0.0,0.6558511976371559
2014-05-23,19.251800537109375,18.493876738845113,17.979672338091127,0.17481962977998128,0.08208393759408768,2028.8653993606567,2500.0,29,0.11995375821571838,0.0,0.0,0.0,105,0,0,0,0.0,0.7854710298293966,0.0,0.0,0.0,0.774805511122852
2014-05-27,19.612314224243164,18.600394594597308,17.93493138914225,0.13086244706459438,0.08364462213567586,2028.8653993606567,2500.0,29,0.21373152972249473,0.0,0.0,0.0,103,0,0,0,0.0,0.7842354227026712,0.0,0.0,0.0,0.303754341117201
2014-05-28,19.5615291595459,18.691931219830508,17.935421177007964,0.1306473029654897,0.08286508228613214,2028.8653993606567,2500.0,29,0.21133963909025438,0.0,0.0,0.0,103,0,0,0,0.0,0.7831735978499661,0.0,0.0,0.0,0.3138556007861686
2014-05-29,19.917951583862305,18.80869506402401,17.913147998654697,0.13876983700009685,0.0841014757726292,2028.8653993606567,2500.0,29,0.19863193796651918,0.0,0.0,0.0,101,0,0,0,0.0,0.7818191372573214,0.0,0.0,0.0,0.37502380036771643
